user_id,0,1,2
42,Mockingbird,Martini,Dirty Mother
43,Cuba Libre,Screwdriver,Havana Beach
44,Moscow Mule,John Collins,Mojito
45,Havana Beach,Tequila Sunset,EL Diablo
46,Cosmopolitan,Black Russian,Silk Stockings
47,Tequila Sunset,Screwdriver,Tequila Sunrise
48,Cuba Libre,Long Island Ice Tea,Sex on the Beach
49,Moscow Mule,Horse’s Neck,Earthquake
50,Havana Beach,Screwdriver,Moscow Mule
51,Horse’s Neck,Moscow Mule,Sidecar
52,Mockingbird,Silk Stockings,Tequila Sunset
53,Horse’s Neck,John Collins,Cuba Libre
54,Tequila Sunset,Screwdriver,Tequila Sunrise
55,Tequila Sunrise,Screwdriver,Cosmopolitan
56,Cuba Libre,Moscow Mule,Bloody Mary
57,Sidecar,Cuba Libre,French Connection
58,Moscow Mule,Tequila Sunrise,Cosmopolitan
59,Cosmopolitan,Tequila Sunrise,Screwdriver
60,Cosmopolitan,Silk Stockings,Margarita
61,Moscow Mule,Imperial Fizz,Cuba Libre
62,Salty Dog,Horse’s Neck,Black Russian
63,New York,Cuba Libre,EL Diablo
64,Cherry Blossom,Martini,Silk Stockings
65,Tequila Sunrise,Screwdriver,Moscow Mule
66,Moscow Mule,Screwdriver,Horse’s Neck
67,Margarita,Cosmopolitan,Mockingbird
68,Bloody Mary,Moscow Mule,Tequila Sunrise
69,Mockingbird,Silk Stockings,Tequila Sunset
70,Tequila Sunset,Screwdriver,Moscow Mule
71,Tequila Sunset,Tequila Sunrise,Moscow Mule
72,Moscow Mule,Bloody Mary,Tequila Sunrise
73,Moscow Mule,Bloody Mary,Tequila Sunrise
74,Tequila Sunrise,Cosmopolitan,Silk Stockings
75,Tequila Sunset,Screwdriver,Moscow Mule
76,Sex on the Beach,Godfather,French Connection
77,John Collins,Moscow Mule,Mojito
78,Harvard Cooler,Mojito,Tom Collins
79,Black Russian,Tequila Sunset,Tequila Sunrise
80,Tequila Sunrise,Harvard Cooler,Godfather
81,Cuba Libre,Tequila Sunrise,Screwdriver
82,Martini,Silk Stockings,Tequila Sunset
83,Tequila Sunset,Screwdriver,Tequila Sunrise
84,Moscow Mule,Cuba Libre,Havana Beach
85,Moscow Mule,Horse’s Neck,Earthquake
86,Moscow Mule,Old Fashioned,Brooklyn
87,Long Island Ice Tea,Moscow Mule,Sex on the Beach
88,Havana Beach,Screwdriver,Moscow Mule
89,Cuba Libre,Horse’s Neck,Earthquake
90,John Collins,Martini,Horse’s Neck
91,Cuba Libre,Gin Fizz,Mockingbird
92,Cosmopolitan,Moscow Mule,Tequila Sunrise
93,Horse’s Neck,Harvard Cooler,Earthquake
94,Tequila Sunrise,Vodka & Tonic,Tequila Sunset
95,French Connection,Sidecar,Havana Beach
96,Moscow Mule,Horse’s Neck,Earthquake
97,Tequila Sunset,Tequila Sunrise,Moscow Mule
98,Tequila Sunset,Tequila Sunrise,Harvard Cooler
99,Godfather,Black Russian,French Connection
100,Harvard Cooler,Vodka Gimlet,Screwdriver
101,Moscow Mule,Tequila Sunrise,Screwdriver
102,Blue Hawaii,Havana Beach,Moscow Mule
103,Margarita,Moscow Mule,Harvard Cooler
104,Moscow Mule,Mojito,Black Russian
105,John Collins,Horse’s Neck,Tequila Sunrise
106,Tequila Sunset,Screwdriver,Cosmopolitan
107,Brooklyn,Old Fashioned,Gin & Tonic
108,Cosmopolitan,Screwdriver,John Collins
109,Old Fashioned,Cuba Libre,Brooklyn
110,Gin & Tonic,Screwdriver,Tequila Sunrise
111,Cuba Libre,Screwdriver,Tequila Sunrise
112,Margarita,Mockingbird,Cosmopolitan
113,Black Russian,Cuba Libre,Salty Dog
114,Tequila Sunset,Tequila Sunrise,Moscow Mule
115,Singapore Sling,Mockingbird,Gin Fizz
116,Tequila Sunrise,Imperial Fizz,Moscow Mule
117,Moscow Mule,Gin Fizz,Mockingbird
118,Moscow Mule,Margarita,Harvard Cooler
119,Moscow Mule,French Connection,Screwdriver
120,Moscow Mule,Cuba Libre,Margarita
121,Cosmopolitan,Mockingbird,Screwdriver
122,Gin Fizz,Moscow Mule,Sidecar
123,Blue Hawaii,Zombie,Sex on the Beach
124,Horse’s Neck,Gin Fizz,Blue Hawaii
125,Margarita,Moscow Mule,Cosmopolitan
126,Old Fashioned,Tequila Sunset,Brooklyn
127,Cosmopolitan,Silk Stockings,Old Fashioned
128,Havana Beach,Screwdriver,Tequila Sunrise
129,Tequila Sunrise,Screwdriver,Silk Stockings
130,Tequila Sunrise,Harvard Cooler,Vodka Gimlet
131,Horse’s Neck,John Collins,Martini
132,Screwdriver,Tequila Sunset,Moscow Mule
133,Horse’s Neck,Salty Dog,Tequila Sunrise
134,Tequila Sunset,Moscow Mule,EL Diablo
135,Moscow Mule,John Collins,Mojito
136,Moscow Mule,Cosmopolitan,Havana Beach
137,Cuba Libre,Black Russian,Margarita
138,Horse’s Neck,Earthquake,Moscow Mule
139,Cuba Libre,Horse’s Neck,Black Russian
140,Moscow Mule,Margarita,Harvard Cooler
141,Silk Stockings,Harvard Cooler,Moscow Mule
142,Martini Sweet,Mockingbird,Gin Fizz
143,Tequila Sunset,EL Diablo,Cuba Libre
144,Tequila Sunrise,Harvard Cooler,Vodka Gimlet
145,Tequila Sunset,Tequila Sunrise,Vodka & Tonic
146,Margarita,Moscow Mule,Harvard Cooler
147,Cuba Libre,Tequila Sunset,Screwdriver
148,Moscow Mule,Horse’s Neck,Earthquake
149,Sex on the Beach,Gin & Tonic,Tequila Sunrise
150,Cuba Libre,Havana Beach,Sidecar
151,Cuba Libre,Margarita,Moscow Mule
152,EL Diablo,Cuba Libre,Moscow Mule
153,French Connection,Cuba Libre,Vodka & Tonic
154,Cuba Libre,EL Diablo,Moscow Mule
155,John Collins,Moscow Mule,Mojito
156,Tequila Sunset,Screwdriver,Tequila Sunrise
157,Moscow Mule,Tequila Sunset,Cuba Libre
158,Gin Fizz,Mockingbird,Tequila Sunrise
159,Cosmopolitan,Margarita,Moscow Mule
160,Cuba Libre,Black Russian,Cosmopolitan
161,Martini,Silk Stockings,John Collins
162,Gin Fizz,Singapore Sling,Mockingbird
163,Silk Stockings,Margarita,Old Fashioned
164,Horse’s Neck,Harvard Cooler,Mojito
165,Zombie,Blue Hawaii,Sex on the Beach
166,Bloody Mary,Tequila Sunset,Moscow Mule
167,Martini,Havana Beach,Screwdriver
168,Mockingbird,Cuba Libre,Old Fashioned
169,Mojito,Silk Stockings,Moscow Mule
170,Tequila Sunrise,Sex on the Beach,Sidecar
171,Moscow Mule,Imperial Fizz,Brooklyn
172,Cuba Libre,Stinger,Gin Fizz
173,Moscow Mule,Tequila Sunrise,Cosmopolitan
174,Margarita,Cosmopolitan,Moscow Mule
175,Cosmopolitan,Silk Stockings,Old Fashioned
176,Cosmopolitan,Silk Stockings,Sex on the Beach
177,Tequila Sunrise,Vodka & Tonic,Tequila Sunset
178,Mockingbird,Cuba Libre,Singapore Sling
179,Singapore Sling,Mockingbird,Gin Fizz
180,Tequila Sunset,Screwdriver,Moscow Mule
181,Screwdriver,Tequila Sunset,Tequila Sunrise
182,Moscow Mule,Cuba Libre,Blue Hawaii
183,Cosmopolitan,Sex on the Beach,Margarita
184,Tequila Sunset,Moscow Mule,John Collins
185,Moscow Mule,Tequila Sunset,Screwdriver
186,Black Russian,French Connection,Cosmopolitan
187,Moscow Mule,John Collins,Mojito
188,John Collins,Cuba Libre,Moscow Mule
189,Cuba Libre,Brave Bull,John Collins
190,Tequila Sunset,Horse’s Neck,Screwdriver
191,Havana Beach,Screwdriver,Moscow Mule
192,Tequila Sunset,Silk Stockings,Havana Beach
193,Tequila Sunset,Screwdriver,Tequila Sunrise
194,Vodka & Tonic,Salty Dog,Horse’s Neck
195,Tequila Sunrise,Screwdriver,Cosmopolitan
196,Old Fashioned,Cosmopolitan,Horse’s Neck
197,Blue Hawaii,Havana Beach,Godfather
198,Moscow Mule,Screwdriver,Tequila Sunset
199,John Collins,Martini,Horse’s Neck
200,Cosmopolitan,Sex on the Beach,Margarita
